word;log(rank);log(freq)
one;1.7853298350107671;2.660865478003869
them;1.792391689498254;2.639486489268586
every;1.7993405494535817;2.639486489268586
than;1.806179973983887;2.621176281775035
harriet;1.8129133566428555;2.6180480967120925
am;1.8195439355418688;2.617000341120899
well;1.8260748027008264;2.6053050461411096
thing;1.8325089127062364;2.5998830720736876
weston;1.8388490907372552;2.5899496013257077
think;1.845098040014257;2.5854607295085006
your;1.8512583487190752;2.575187844927661
should;1.8573324964312685;2.5728716022004803
how;1.863322860120456;2.571708831808688
we;1.8692317197309762;2.5658478186735176
when;1.8750612633917;2.5634810853944106
little;1.8808135922807914;2.5575072019056577
never;1.8864907251724818;2.5538830266438746
good;1.8920946026904804;2.5538830266438746
being;1.8976270912904414;2.5538830266438746
knightley;1.9030899869919435;2.5514499979728753
did;1.9084850188786497;2.5477747053878224
only;1.9138138523837167;2.5352941200427703
know;1.919078092376074;2.5289167002776547
might;1.9242792860618816;2.514547752660286
elton;1.9294189257142926;2.505149978319906
now;1.9344984512435677;2.4983105537896004
say;1.9395192526186185;2.494154594018443
their;1.9444826721501687;2.482873583608754
own;1.9493900066449128;2.482873583608754
who;1.954242509439325;2.4712917110589387
can;1.9590413923210936;2.459392487759231
time;1.9637878273455553;2.4533183400470375
jane;1.968482948553935;2.4533183400470375
quite;1.9731278535996986;2.450249108319361
herself;1.9777236052888478;2.4456042032735974
woodhouse;1.9822712330395684;2.444044795918076
some;1.9867717342662448;2.424881636631067
great;1.9912260756924949;2.423245873936808
nothing;1.99563519459755;2.4082399653118496
too;2.0;2.406540180433955
has;2.0043213737826426;2.404833716619938
most;2.0086001717619175;2.401400540781544
about;2.012837224705172;2.401400540781544
before;2.0170333392987803;2.399673721481038
dear;2.0211892990699383;2.3820170425748683
other;2.0253058652647704;2.376576957056512
may;2.0293837776852097;2.376576957056512
always;2.03342375548695;2.376576957056512
thought;2.037426497940624;2.3541084391474008
soon;2.041392685158225;2.3502480183341627
see;2.0453229787866576;2.3502480183341627
shall;2.0492180226701815;2.3404441148401185
again;2.0530784434834195;2.3404441148401185
man;2.0569048513364727;2.3384564936046046
without;2.060697840353612;2.3344537511509307
first;2.0644579892269186;2.3283796034387376
out;2.0681858617461617;2.326335860928751
fairfax;2.0718820073061255;2.322219294733919
sure;2.0755469613925306;2.311753861055754
indeed;2.0791812460476247;2.305351369446624
made;2.0827853703164503;2.303196057420489
like;2.0863598306747484;2.303196057420489
frank;2.089905111439398;2.3010299956639813
ever;2.093421685162235;2.287801729930226
oh;2.0969100130080562;2.285557309007774
churchill;2.100370545117563;2.285557309007774
young;2.103803720955957;2.2833012287035497
up;2.1072099696478683;2.2833012287035497
day;2.110589710299249;2.271841606536499
two;2.113943352306837;2.2528530309798933
though;2.1172712956557644;2.247973266361807
better;2.12057393120585;2.2405492482826
then;2.123851640967086;2.2355284469075487
come;2.1271047983648077;2.2355284469075487
just;2.130333768495006;2.2278867046136734
father;2.1335389083702174;2.225309281725863
friend;2.1367205671564067;2.220108088040055
into;2.1398790864012365;2.214843848047698
give;2.143014800254095;2.214843848047698
body;2.146128035678238;2.214843848047698
after;2.1492191126553797;2.2068258760318495
upon;2.1522883443830563;2.2013971243204513
hartfield;2.155336037465062;2.2013971243204513
way;2.1583624920952498;2.1931245983544616
here;2.161368002234975;2.1931245983544616
really;2.164352855784437;2.184691430817599
make;2.167317334748176;2.1818435879447726
us;2.1702617153949575;2.1789769472931693
long;2.173186268412274;2.1702617153949575
having;2.1760912590556813;2.167317334748176
rather;2.1789769472931693;2.164352855784437
himself;2.1818435879447726;2.164352855784437
hope;2.184691430817599;2.155336037465062
cannot;2.187520720836463;2.155336037465062
done;2.1903316981702914;2.1522883443830563
seemed;2.1931245983544616;2.1492191126553797
wish;2.1958996524092336;2.143014800254095
over;2.1986570869544226;2.143014800254095
away;2.2013971243204513;2.143014800254095
many;2.2041199826559246;2.1398790864012365
poor;2.2068258760318495;2.1335389083702174
even;2.2095150145426308;2.1335389083702174
while;2.2121876044039577;2.123851640967086
go;2.214843848047698;2.123851640967086
however;2.2174839442139063;2.12057393120585
home;2.220108088040055;2.12057393120585
does;2.2227164711475833;2.1172712956557644
enough;2.225309281725863;2.110589710299249
mind;2.2278867046136734;2.1072099696478683
bates;2.230448921378274;2.100370545117563
yes;2.2329961103921536;2.0969100130080562
highbury;2.2355284469075487;2.0969100130080562
happy;2.2380461031287955;2.0969100130080562
its;2.2405492482826;2.093421685162235
woman;2.2430380486862944;2.089905111439398
look;2.24551266781415;2.089905111439398
take;2.247973266361807;2.0863598306747484
last;2.250420002308894;2.0827853703164503
heard;2.2528530309798933;2.0791812460476247
going;2.255272505103306;2.0791812460476247
half;2.2576785748691846;2.0755469613925306
came;2.2600713879850747;2.0755469613925306
room;2.2624510897304293;2.0681858617461617
love;2.2648178230095364;2.0681858617461617
still;2.2671717284030137;2.060697840353612
pleasure;2.2695129442179165;2.060697840353612
something;2.271841606536499;2.0569048513364727
felt;2.27415784926368;2.0569048513364727
sort;2.2764618041732443;2.0530784434834195
another;2.278753600952829;2.0530784434834195
moment;2.2810333672477277;2.0453229787866576
letter;2.2833012287035497;2.041392685158225
yet;2.285557309007774;2.037426497940624
saw;2.287801729930226;2.03342375548695
our;2.290034611362518;2.03342375548695
morning;2.292256071356476;2.03342375548695
few;2.294466226161593;2.0253058652647704
myself;2.296665190261531;2.012837224705172
till;2.298853076409707;2.0086001717619175
same;2.3010299956639813;2.0086001717619175
feelings;2.303196057420489;2.0086001717619175
believe;2.305351369446624;2.0086001717619175
certainly;2.307496037913213;2.0043213737826426
idea;2.3096301674258988;2.0
hear;2.311753861055754;2.0
speak;2.3138672203691533;1.99563519459755
perhaps;2.315970345456918;1.99563519459755
off;2.3180633349627615;1.99563519459755
party;2.3201462861110542;1.9912260756924949
doubt;2.322219294733919;1.9912260756924949
those;2.3242824552976926;1.9867717342662448
subject;2.326335860928751;1.9867717342662448
evening;2.3283796034387376;1.9867717342662448
word;2.330413773349191;1.9822712330395684
ought;2.3324384599156054;1.9777236052888478
house;2.3344537511509307;1.9777236052888478
feel;2.3364597338485296;1.9777236052888478
right;2.3384564936046046;1.968482948553935
place;2.3404441148401185;1.968482948553935
people;2.342422680822206;1.968482948553935
want;2.3443922736851106;1.9637878273455553
often;2.346352974450639;1.9637878273455553
found;2.3483048630481607;1.9637878273455553
deal;2.3502480183341627;1.9637878273455553
looked;2.3521825181113627;1.9590413923210936
harriet's;2.3541084391474008;1.9590413923210936
randalls;2.3560258571931225;1.954242509439325
present;2.357934847000454;1.954242509439325
let;2.359835482339888;1.954242509439325
;2.361727836017593;1.954242509439325
coming;2.3636119798921444;1.9493900066449128
almost;2.3654879848909;1.9493900066449128
knew;2.367355921026019;1.9444826721501687
john;2.369215857410143;1.9444826721501687
both;2.3710678622717363;1.9395192526186185
where;2.3729120029701067;1.9344984512435677
visit;2.374748346010104;1.9344984512435677
least;2.376576957056512;1.9344984512435677
old;2.3783979009481375;1.9294189257142926
best;2.380211241711606;1.9294189257142926
possible;2.3820170425748683;1.9242792860618816
once;2.383815365980431;1.919078092376074
kind;2.385606273598312;1.919078092376074
world;2.387389826338729;1.9138138523837167
friends;2.3891660843645326;1.9138138523837167
together;2.3909351071033793;1.9084850188786497
suppose;2.392696953259666;1.9084850188786497
cried;2.3944516808262164;1.9084850188786497
life;2.3961993470957363;1.9030899869919435
hour;2.3979400086720375;1.9030899869919435
gone;2.399673721481038;1.9030899869919435
else;2.401400540781544;1.9030899869919435
told;2.403120521175818;1.8976270912904414
tell;2.404833716619938;1.8976270912904414
replied;2.406540180433955;1.8976270912904414
emma's;2.4082399653118496;1.8976270912904414
smith;2.4099331233312946;1.8920946026904804
given;2.41161970596323;1.8864907251724818
get;2.413299764081252;1.8864907251724818
family;2.4149733479708178;1.8864907251724818
whole;2.416640507338281;1.8808135922807914
wanted;2.4183012913197452;1.8808135922807914
obliged;2.419955748489758;1.8808135922807914
happiness;2.4216039268698313;1.8808135922807914
manner;2.423245873936808;1.8750612633917
find;2.424881636631067;1.8750612633917
three;2.4265112613645754;1.8692317197309762
perry;2.428134794028789;1.8692317197309762
whom;2.429752280002408;1.863322860120456
seen;2.4313637641589874;1.863322860120456
ill;2.432969290874406;1.863322860120456
between;2.4345689040341987;1.863322860120456
part;2.436162647040756;1.8573324964312685
nobody;2.437750562820388;1.8573324964312685
martin;2.439332693830263;1.8573324964312685
able;2.4409090820652177;1.8573324964312685
side;2.4424797690644486;1.8512583487190752
opinion;2.444044795918076;1.8512583487190752
hardly;2.4456042032735974;1.8512583487190752
understand;2.4471580313422194;1.845098040014257
these;2.44870631990508;1.845098040014257
short;2.450249108319361;1.845098040014257
immediately;2.45178643552429;1.845098040014257
far;2.4533183400470375;1.845098040014257
down;2.45484486000851;1.845098040014257
